segment,value,lightgbm,champion
cat_id,FOODS,0.3684101188975752,0.3734044516373704
cat_id,HOBBIES,0.4910861700583521,0.49716690094518456
cat_id,HOUSEHOLD,0.399687994040163,0.3961568234081672
sbc_class,erratic,0.5454968610445436,0.5480808542380896
sbc_class,intermittent,0.5131834149434681,0.5141623062498775
sbc_class,lumpy,0.6456390347447128,0.6370915559750842
sbc_class,smooth,0.35429398218584596,0.35812317126318455
volume_tier,low,0.6998098551993716,0.684840974581869
volume_tier,mid,0.4924855956409185,0.4992615892132896
volume_tier,high,0.3447360804876706,0.34847692449090517
