fold,epoch,train_loss,val_loss
fold_1,1,0.7518678579217981,0.6702333189201781
fold_1,2,0.666401321914606,0.6679821557535398
fold_1,3,0.662616317444999,0.6622837257744679
fold_1,4,0.6589145956292407,0.661467558874357
fold_1,5,0.6555400763844879,0.6586299326950981
fold_1,6,0.6514219565412386,0.6584195751241304
fold_1,7,0.6472205666930579,0.6541500470945784
fold_1,8,0.6429564902521677,0.6566024460252072
fold_1,9,0.6375812381062836,0.656459078617032
fold_1,10,0.6346858498857576,0.6555617395757231
fold_1,11,0.6306067301013148,0.6553958588509105
fold_2,1,0.7500005509157808,0.7442594404731478
fold_2,2,0.6653439308599919,0.7399974060910088
fold_2,3,0.6604094599792969,0.726066917181015
fold_2,4,0.6563957166711959,0.7277983065162387
fold_2,5,0.6534563641725061,0.7240277933222907
fold_2,6,0.6493058035787804,0.7240310843501773
fold_2,7,0.6460157981610419,0.7250315823725292
fold_2,8,0.6410785773753316,0.724254195179258
fold_2,9,0.6382492305255459,0.7179358431271144
fold_2,10,0.6337937061340371,0.7226904311350414
fold_2,11,0.6300562182928218,0.7292447239160538
fold_2,12,0.6257783759504707,0.720115031514849
fold_2,13,0.6226701940493077,0.7216166662318366
fold_3,1,0.7314327761918682,0.7502406345946449
fold_3,2,0.6607025115865015,0.7551853358745575
fold_3,3,0.6558143273496528,0.7489393843071801
fold_3,4,0.6528464172277211,0.7363733202219009
fold_3,5,0.6481344200139261,0.7418602300541741
fold_3,6,0.644087548428933,0.7293050991637366
fold_3,7,0.6397433620495057,0.7365037266697202
fold_3,8,0.6362628999859786,0.7268672755786351
fold_3,9,0.6322374009492575,0.7402073847396033
fold_3,10,0.6279713575924754,0.7274916917085648
fold_3,11,0.6242531160653185,0.7295198908873967
fold_3,12,0.6204685058041878,0.7301412948540279
