model,id,wmape,bias,sum_actual,cat_id,store_id,train_vol,zero_rate,volume_tertile
lstm_seq2seq,HOBBIES_2_003_WI_1_evaluation,7.65579891577363,0.06935526435041711,1.0,HOBBIES,WI_1,412,0.8239475123018043,low
lstm_seq2seq,HOBBIES_2_077_CA_1_evaluation,6.7118056723847985,0.05779557853626708,1.0,HOBBIES,CA_1,131,0.8897338403041825,low
lstm_seq2seq,FOODS_3_816_TX_1_evaluation,6.663750607697737,1.3680860312389476,21.0,FOODS,TX_1,7868,0.386,high
lstm_seq2seq,HOBBIES_2_002_TX_1_evaluation,4.521972420314948,0.10439270034077622,3.0,HOBBIES,TX_1,415,0.8330640818524502,mid
lstm_seq2seq,HOBBIES_2_079_TX_1_evaluation,4.303128523752093,0.02846104046329856,1.0,HOBBIES,TX_1,69,0.963308095515434,low
lstm_seq2seq,FOODS_1_211_TX_1_evaluation,4.281816954724491,0.059112159513114465,2.0,FOODS,TX_1,322,0.853841709994223,low
lstm_seq2seq,HOBBIES_1_302_CA_1_evaluation,4.182796997949481,0.027157894623953672,1.0,HOBBIES,CA_1,79,0.9587628865979382,low
lstm_seq2seq,FOODS_3_036_TX_1_evaluation,3.8855406548827887,0.07301630543190099,3.0,FOODS,TX_1,204,0.8351115421920465,low
lstm_seq2seq,FOODS_3_763_TX_1_evaluation,3.714916957076639,0.044350379756430074,2.0,FOODS,TX_1,382,0.8605927552140505,low
lstm_seq2seq,FOODS_2_319_TX_1_evaluation,3.588386782910675,0.06323754464253961,3.0,FOODS,TX_1,410,0.8207762557077626,low
lstm_seq2seq,HOBBIES_2_130_WI_1_evaluation,3.3745805167903504,0.057923038778383104,3.0,HOBBIES,WI_1,164,0.9203015616585891,low
lstm_seq2seq,HOBBIES_1_163_TX_1_evaluation,3.346589419990778,0.05480809558537744,3.0,HOBBIES,TX_1,281,0.8762162162162163,low
lstm_seq2seq,HOBBIES_2_111_TX_1_evaluation,3.154704801738262,0.06499918248681795,4.0,HOBBIES,TX_1,110,0.8678414096916299,low
lstm_seq2seq,HOBBIES_1_053_WI_1_evaluation,3.0807068329304457,0.029314574342043626,2.0,HOBBIES,WI_1,72,0.9554455445544554,low
lstm_seq2seq,HOUSEHOLD_2_132_CA_1_evaluation,2.979755167538921,0.03756585422282418,3.0,HOUSEHOLD,CA_1,137,0.8664122137404581,low
lstm_seq2seq,HOBBIES_1_289_TX_1_evaluation,2.968062603225311,0.040191294314960636,3.0,HOBBIES,TX_1,180,0.9149165320409263,low
lstm_seq2seq,HOUSEHOLD_2_216_WI_1_evaluation,2.8053496765593686,0.033500147318201404,3.0,HOUSEHOLD,WI_1,43,0.8765432098765432,low
lstm_seq2seq,HOBBIES_1_149_CA_1_evaluation,2.7720435437831012,0.12723185512281598,11.0,HOBBIES,CA_1,1437,0.4876179245283019,high
lstm_seq2seq,HOBBIES_1_218_TX_1_evaluation,2.6972180837765336,0.03967890821929489,4.0,HOBBIES,TX_1,142,0.8822447102115916,low
lstm_seq2seq,FOODS_3_268_CA_1_evaluation,2.653487192200763,0.07280019187324104,7.0,FOODS,CA_1,676,0.6910569105691057,mid
